a|يك(n;0.5)
abandon|ر كردن(v;0.75),ترك گفتن(v;0.25),واگذار كردن(v;0.25),تسليم شدن(v;0.25),تبعيد كردن(v;0.25),دل كندن(v;0.25),واگذاري(n;0.25),يخيالدن(n;0.25),رها سازي(n;0.25)
abatement|كاهش(n;0.75),جلو گيري(n;0.75),تنزل(n;0.5),تخفيف(n;0.25)
abduction|ربا(n;0.75),عمل ربودن(n;0.5),دورشده(n;0.5),دوري از مركز بدن(n;0.5),قياسي(n;0.5),قياس(n;0.5),سرقت(n;0.5)
ability|توانا(n;0.75),قابليت(n;0.75),شايسته(n;0.25),لياقت(n;0.25),استطاعت(n;0.25),صلاحيت(n;0.25),سررشتن(n;0.25)
able|قادر(n;0.75),توانا(j;0.5),لايق(j;0.25),شايستن(j;0.25),امادن(j;0.25),صلاحيت دار(j;0.25),قابل(j;0.25),دارا صلاحيت قانوني(j;0.25),مستعد(j;0.25),خليق(j;0.25),با استعداد(j;0.25)
aboard|رو(n;0.75),از رو(n;0.5),تو(n;0.25),رو يا داخل(d;0.25)
abolish|منسوخ كردن(v;0.5),از ميان بردن(v;0.5),بر انداختن(v;0.5),موقوف كردن(v;0.5)
abortion|سقط جنين(n;0.75),عدم تكامل(n;0.25),چهاندازدن(n;0.25),سقط نوزاد نارس يا رشد نكردن(n;0.25)
about|در(n;0.75),در حد(n;0.5),در باره(n;0.5),راجع به(n;0.5),پيرامون(n;0.5),در شرف(n;0.25),نزد(n;0.25),با(n;0.25),در صدد(n;0.25),در باب(n;0.25),تقريبا(d;0.5),پيرامون(d;0.5)
above|فوق(n;0.75),بالا(n;0.5),فراز(n;0.5),بالا سر(n;0.25),مافوق(n;0.25),در بالا(d;0.75),بالا(d;0.75),بر(d;0.25),قسمت بالا(d;0.25),بالا(j;0.75),نام بردن(j;0.25),واقع در بالا(j;0.25),مافوق(j;0.25)
abrasive|سايدن(n;0.75),تراشتن(j;0.5),سوزش اور(j;0.25)
abroad|خارج از كشور(d;0.75),وسيع(d;0.25),بيرون(d;0.25),خارج(n;0.75),خارجه(n;0.25)
absence|عدن(n;0.75),فقدان(n;0.75),غياب(n;0.75),غيبت(n;0.75),نبودن(n;0.5),حالت غياب(n;0.25)
absolute|مطلق(j;0.75),كامل(j;0.5),قطعي(j;0.5),استبدادي(j;0.25),خالص(j;0.5),غير مشروط(j;0.25),مستقل(j;0.25),ازاد از قيود فكري(j;0.25),خود را(j;0.25),دايره نا محدود(n;0.25)
absolutely|كاملا(n;0.75)
absorption|جذب(n;0.75),دركشي(n;0.25),در اشامي(n;0.25),انجذاب(n;0.25),خورد(n;0.25)
abuse|سو استفاده(n;0.75),توهين(n;0.5),تهمت(n;0.25),سو استعمال(n;0.25),فحش(n;0.25),بد زباني(n;0.25),خفت(n;0.25),خواري(n;0.25),بد دهاني(n;0.25),پرخاش(n;0.25),سب(n;0.25),بد بكار بردن(v;0.25),بد استعمال كردن(v;0.25)
academic|علمي(n;0.75)
academician|عضو فرهنگستان(n;0.75),عضو انجمن دانش(n;0.5),عضوانجمن علمي(n;0.5),عضو اكادمي(n;0.5)
accept|پذيرفتن(v;0.75),قبول كردن(v;0.5),قبول شدن(v;0.25),پسنديدن(v;0.25),موافقت كردن(v;0.25)
acceptable|قابل قبول(j;0.75),قابل پذيرش(j;0.5),مقبول(j;0.5),پذيرفتني(j;0.5),مناسب(j;0.5),پذيرا(j;0.25),پسنديدن(j;0.25),خوشايند(j;0.25),خوب(j;0.25)
acceptance|پذيرش(n;0.75),قبولي حواله(n;0.25),حواله قبول شدن(n;0.25)
access|دسترسي(n;0.75),دسترس(n;0.5),راه(n;0.25),تقريب(n;0.25),اجازه دخول(n;0.25),راه دسترس(n;0.25),مدخل(n;0.25),وسيله حصول(n;0.25),بروز مرض(n;0.25),حمله(n;0.25),اصابت(n;0.25),دسترسي يا مجال مقاربت(n;0.25),تقرب به خدا(n;0.25),دست يابي(n;0.25)
accessible|در دسترس(j;0.75),دستيابي پذير(j;0.25),قابل وصول(j;0.25),نزديك(j;0.25),امادن پذيرا(j;0.25),دست يافتني(j;0.25),حي و حاضر(j;0.25),دم دستن(j;0.25)
accident|تصادف(n;0.75),حادثه(n;0.75),سانحه(n;0.5),واقعه ناگوار(n;0.25),تصادف اتومبيل(n;0.25),عارضه(n;0.25),اتفاق(n;0.5),پيش امد(n;0.25),مصيبت ناگهاني(n;0.25),صفت(n;0.25),صرف(n;0.25),پا(n;0.25),ش(n;0.25)
accidental|تصادفي(j;0.75),اتفاقي(j;0.75),غير مترقبه(j;0.5),غير اساسي(j;0.25),عرضي(j;0.5),عارضي(j;0.25),پيشامدي(j;0.25)
accommodate|جا دادن(v;0.5),همساز كردن(v;0.25),منزل دادن(v;0.25),وفق دادن با(v;0.25),تطبيق نمودن(v;0.25),اصلاح كردن(v;0.25),امادن كردن براي(v;0.25),پول وام دادن(v;0.25)
accommodation|محل اقامت(n;0.75)
accord|پيم(n;0.75),توافق(n;0.75),سازش(n;0.5),موافقت(n;0.5),مصالحه(n;0.5),اشتن دادن(n;0.25),اصلاح كردن(n;0.25),دلخواه(n;0.25),طيب خاطر(n;0.25),قرار(n;0.25),پيمان غير رسمي ينالمللدن(n;0.25),متفق بودن(n;0.25)
accordance|تطابق(n;0.5),موافقت(n;0.25),جور بودن(n;0.25),وفق(n;0.25),توافق(n;0.25),سازش(n;0.25),متفق بودن(n;0.25),متابعت(n;0.25)
accordingly|بر اين اساس(n;0.75)
account|حساب(n;0.75),شرح(n;0.5),داستان(n;0.25),حكايت(n;0.25),گزارش(n;0.5),صورت حساب(n;0.25),بيان علت(n;0.25),سبب(n;0.25),خبر(n;0.25),پا(n;0.25),مسئول بودن(v;0.25),شمردن(v;0.25)
accountability|جوابگو(n;0.5),مسئوليت(n;0.25)
accountant|محاسب(n;0.5),حساب دار(n;0.5),ذيحساب(n;0.25)
accredit|معتبر شناختن(v;0.5),اعتبارنامه دادن(v;0.5),معتبر ساختن(v;0.5),اختيار دادن(v;0.5),اطمين كردن(v;0.5),برسميت شناختن(v;0.5),مورد اطمين بودن يا شدن(v;0.5)
accumulation|انباشته(n;0.5),ذخيره(n;0.5),جمع اوري(n;0.25),توده(n;0.25)
accuracy|دقت(n;0.75),صحت(n;0.75),درستن(n;0.5)
accurately|دقت(n;0.75)
accusation|اتهام(n;0.75),تهمت(n;0.5)
accuse|متهم كردن(v;0.5),تهمت زدن(v;0.25),متهم ساختن(v;0.5)
accustom|اشنا كردن(v;0.75),عادت دادن(v;0.75),اشنا شدن(v;0.75),معتاد ساختن(v;0.75),انس گرفتن(v;0.75),خو گرفتن(v;0.75),عادي كردن(v;0.75)
achieve|رسيدن(v;0.75),دست يافتن(v;0.5),انجام دادن(v;0.25),تحصيل كردن(v;0.25),بانجام رسانيدن(v;0.25),نائل شدن به(v;0.25),كسب موفقيت كردن اطاعت كردن(v;0.25)
achieved|دست(n;0.75)
achievement|موفقيت(n;0.75),پيروزي(n;0.5),انجام(n;0.5),دست يابي(n;0.25),كار بزرگ(n;0.25)
achieving|دستيابي به(n;0.75)
acid|اسيد(n;0.75)
acidic|اسيدي(j;0.75),تشكيل دادن اسيد(j;0.25),اسيد دار(j;0.25)
acidification|اسيد سازي(n;0.5),ترشي(n;0.5),اسيد شده(n;0.5),تحميض(n;0.5)
acknowledges|اذع(n;0.75)
acp|ACP(n;0.75)
acquire|به دست اوردن(n;0.75)
acquisition|اكتساب(n;0.75),مالكيت(n;0.5),فراگيري(n;0.5),حصول(n;0.5),استفاده(n;0.25)
acre|هكتار(n;0.75),زمين(n;0.5)
across|در ميان(n;0.5),از عرض(d;0.25),از ميان(d;0.25),از وسط(d;0.25),ازاين طرف بان طرف(d;0.25),يكسره(d;0.25),از اين سو بان سو(d;0.25)
act|عمل(n;0.75),كنش(n;0.5),فعل(n;0.5),كار(n;0.5),كردار(n;0.25),اعلاميه(n;0.5),حقيقت(n;0.25),فرمان قانون(n;0.25),تصويب نامه(n;0.25),سند(n;0.25),رساله(n;0.25),عمل كردن(v;0.5)
acting|بازيگري(n;0.75),ايفا نمايش(n;0.25),كفيل(n;0.75),فعاليت(n;0.5),كاري(n;0.25),جديت(n;0.25),فعال(j;0.5),جدي(j;0.25),كفالت كردن(j;0.25),كنشي(j;0.25),فاعل(j;0.25),عامل(j;0.25),قابل اعمال(j;0.25)
action|عمل(n;0.75),اقدام(n;0.75),كنش(n;0.5),حركت(n;0.5),اشاره(n;0.25),رفتار(n;0.5),كردار(n;0.25),كار(n;0.25),فعل(n;0.25),جديت(n;0.25),جنبش(n;0.25),جريان(n;0.25)
active|فعال(j;0.75),كاري(j;0.25),ساعي(j;0.25),داير(j;0.25),كنشي(j;0.25),حاضر بخدمت(j;0.25),تنزل بردار(j;0.25),با ربح(j;0.25),معلوم(j;0.25),كنشور(j;0.25),كنشگر(j;0.25),پر كار(j;0.25)
activist|فعال(n;0.75)
activity|فعاليت(n;0.75),كنشوري(n;0.25),كار(n;0.25),چابكي(n;0.25),زنده دلي(n;0.25),اكتيوا(n;0.25)
actor|بازيگر(n;0.75),هنرپيشه(n;0.75),خواه(n;0.25),شاكي(n;0.25),حامي(n;0.25)
actual|واقعي(j;0.75),حقيقي(j;0.5),فعلي(j;0.5)
actually|واقعا(d;0.75),عملا(d;0.5),در حقيقت(d;0.5),بالفعل(d;0.25),فعلا(d;0.25)
acute|حاد(j;0.75),تيزرو(j;0.25),تيز(j;0.25),تند(j;0.25),نوك تيز(j;0.25),حراندن(j;0.25),زيرك(j;0.25),شدن تيز(j;0.25),زير(j;0.25),حساس(j;0.25),روشن بين(j;0.25),تيز نظر(j;0.25),ضربه(n;0.25)
ad|اگهي(n;0.75)
adapt|وفق دادن(v;0.5),جور كردن(v;0.25),سازوار كردن(v;0.25),اقتباس كردن(v;0.25),درست كردن(v;0.25),تعديل كردن(v;0.25),مطابقت كردن(v;0.25)
add|افزودن(v;0.75),زياد كردن(v;0.25),اضافه كردن(v;0.75),جمع كردن(v;0.25),جمع زدن(v;0.25),باهم پيوستن(v;0.25),باخود تركيب كردن(v;0.25),ضميمه كردن(v;0.25)
addiction|اعتياد(n;0.75),خو گرفته(n;0.25),اعتياد دادن(n;0.25),عادت(n;0.25),ميل(n;0.25),تمايل(n;0.25),خو(n;0.25),طبع(n;0.25),فرقه(n;0.25)
addictive|معتاد كردن(j;0.5)
addition|اضافه(n;0.75),جمع(n;0.5),افزا(n;0.25),لقب(n;0.25),متمماسم(n;0.25),اسم اضافي(n;0.25),ضميمه(n;0.25),تركيب چند ماده با هم(n;0.25),سرك(n;0.25)
additional|اضافي(j;0.75),افزودن(j;0.5),فرعي(j;0.25)
additive|افزودني(j;0.75),افزايشي(j;0.5),افزايدن(j;0.5)
address|شاندن(n;0.75),ادرس(n;0.5),خطاب(n;0.5),عنوان(n;0.25),نام و نشان(n;0.25),سرنامه(n;0.25),خطابه(n;0.25),نطق(n;0.25),طرزخطاب(n;0.25),مهارت(n;0.25),ارسال(n;0.25),خطابت(n;0.25)
adenauer|adenauer(n;0.75)
adequate|متناسب(j;0.75),كافي(j;0.75),مساو(j;0.25),مناسب(j;0.75),بسندن(j;0.5),تكافو كردن(j;0.25),لايق(j;0.25),صلاحيت دار(j;0.25),رسا(j;0.25),متساو بودن(v;0.25),مساو ساختن(v;0.25),شايستن بودن(v;0.25)
adequately|به اندازه كافي(n;0.75)
adjust|تنظيم كردن(v;0.5),تعديل كردن(v;0.25),ميزان كردن(v;0.25),وفق دادن(v;0.25),تسويه نمودن(v;0.25),مطابق كردن(v;0.25),سازگار كردن(v;0.25)
administer|اداره كردن(v;0.5),تقسيم كردن(v;0.25),تهيه كردن(v;0.25),اجرا كردن(v;0.25),توزيع كردن(v;0.25),تصفيه كردن(v;0.25),نظارت كردن(v;0.25),وصايت كردن(v;0.25),انجام دادن(v;0.25),اعدام كردن(v;0.25),كشيدن(v;0.25),رهبري كردن(v;0.25)
administration|حكومت(n;0.5),اداره كل(n;0.25),اجرا(n;0.25),الغا(n;0.25),تصفيه(n;0.25),وصايت(n;0.25),تقسيمه جز وزارتخانه در شهر(n;0.25),فرمداري(n;0.25),سياست(n;0.25)
administrative|اداري(j;0.75),اجرا(j;0.5),مجري(j;0.25)
administrator|مدير(n;0.75),سرپرست(n;0.75),فرمدار(n;0.25),رييس(n;0.25),مدير تصفيه(n;0.25),وصي و مجري(n;0.25)
admire|حظ كردن(v;0.5),پسند كردن(v;0.25),تحسين كردن(v;0.25),تعجب كردن(v;0.25),مورد شگفت قراردادن(v;0.25),در شگفت شدن(v;0.25),متحير كردن(v;0.25)
admiring|توصيف(n;0.75)
