token,part1,part2,mean,var,harmmean,iscorrect
ابعادانتخاب,ابعاد,انتخاب,20778,11807,14068,1
ابوعماد,ابو,عماد,401,31,399,1
اثاراحتمالي,اثار,احتمالي,17384,9357,12347,1
احمدقويدل,احمد,قويدل,6333,6177,308,1
اخيراروش,اخير,اروش,19348,19347,1,0
ارزوداشتم,ارزو,داشتم,3788,1264,3366,1
ارشيويسم,ارشيوي,سم,628,503,225,0
ازعادات,از,عادات,150554,149416,2267,1
اسبدره,اسبد,ره,3889,3889,0,0
استادمحترم,استاد,محترم,10222,1795,9907,1
استكباراست,استكبار,است,508,507,1,1
اسنادبدست,اسناد,بدست,5845,526,5798,1
اشتورك,اش,تورك,15671,15652,37,0
افرينشگرانه,افرينش,گرانه,1176,920,456,1
اقااستاد,اقا,استاد,7439,4579,4620,1
اقاميلاد,اقا,ميلاد,3057,197,3044,1
اكسپوزهاي,اكس,پوزهاي,93,93,0,0
الگوفقط,الگو,فقط,19146,17129,3821,1
امريكااغلب,امريكا,اغلب,29463,15171,21651,1
امريكاامدند,امريكا,امدند,24785,19848,8890,1
اموربدهي,امور,بدهي,23858,20369,6467,1
اميرشمس,امير,شمس,4206,2472,2753,1
انعقادقراردادي,انعقاد,قراردادي,2128,491,2015,1
انقلابتوصيف,انقلاب,توصيف,17397,9047,12692,1
اوادهنده,اوا,دهنده,164,163,1,1
اوازبخوانند,اواز,بخوانند,1486,420,1367,1
اوباشند,او,باشند,54325,8039,53135,1
اوغلام,او,غلام,31508,30856,1290,1
اولوسجون,اولو,سجون,6,6,0,0
اوهاب,او,هاب,31196,31169,53,0
ايتالي,اي,تالي,82266,82183,165,0
ايجادجهش,ايجاد,جهش,32630,31006,3167,1
ايزني,اي,زني,85200,79249,11486,0
اچين,ا,چين,6848,6846,3,0
اگريا,اگر,يا,37682,37676,11,1
بابريدن,باب,ريدن,2595,2594,1,0
بابقلي,باب,قلي,2941,2247,1224,0
باجون,باج,ون,723,227,651,0
بادانستن,با,دانستن,1022,1007,29,1
باراسو,باراس,و,155790,155789,1,0
بارسقيان,بارس,قيان,5,3,3,0
بارهاعمل,بارها,عمل,25436,16998,14076,1
بازرگانند,بازرگان,ند,564,227,472,1
بازنمايد,باز,نمايد,23363,9045,19861,1
باشدرقمي,باشد,رقمي,51356,48961,4678,1
باقرتبار,باقرت,بار,26987,26987,0,0
باكلمات,با,كلمات,1352,1337,29,1
بالكفر,بالك,فر,1508,1500,15,0
باهرمعياري,باهر,معياري,287,207,137,1
بايدحفظالغيب,بايد,حفظالغيب,52239,52239,0,1
بايديكم,بايد,يكم,53691,50787,5650,0
بحارارامكو,بحار,ارامكو,67,10,65,0
بداجوز,بدا,جوز,16,12,7,0
بدانندنبايد,بدانند,نبايد,13208,8934,7165,1
بدينجاي,بدين,جاي,26577,13793,19418,1
برابرفرانسه,برابر,فرانسه,31433,4600,30759,1
برخودكامگي,بر,خودكامگي,150,149,1,1
برضاك,برض,اك,32,32,0,0
برماشين,بر,ماشين,4596,4595,1,1
برنسيا,برن,سيا,720,421,473,0
بروفورد,بروفو,رد,6353,6353,0,0
برومونستر,برو,مونستر,501,486,29,0
بنتسودي,بنت,سودي,678,518,282,0
بندازمت,بند,ازمت,3859,3859,0,0
بندرنكا,بندر,نكا,1467,1439,55,1
