ابوفاضل,ابو,فاضل,609,239,515,0
اترائو,اتر,ائو,20,17,5,0
اجاريان,اجاريا,ن,1064,1049,29,0
احتمالاتاثيري,احتمالا,تاثيري,7023,3173,5589,0
احتمالاچيزي,احتمالا,چيزي,16390,6193,14050,0
اخيرميزبان,اخير,ميزبان,22212,16482,9981,0
ادليان,ادل,يان,361,335,50,0
ارتقاشغلي,ارتقا,شغلي,5110,788,4988,0
ارگريفين,ار,گريفين,500,451,93,0
ازتفريحات,از,تفريحات,150251,149719,1062,0
ازتمايلات,از,تمايلات,150514,149456,2108,0
ازسرمربي,از,سرمربي,151876,148093,7471,0
ازشستشوي,از,شستشوي,150148,149822,651,0
ازهويدا,از,هويدا,150215,149754,920,0
استاداني,استاد,اني,6654,5363,2331,0
استانداردگذاري,استاندارد,گذاري,18707,12407,10478,0
استمدادوي,استمداد,وي,64491,64140,700,0
اسمونو,اس,مونو,1207,1166,80,0
اسيااست,اسيا,است,6603,6602,1,0
اسپلمن,اس,پلمن,1187,1186,1,0
اغازكنيد,اغاز,كنيد,41007,18648,32526,0
افتابگران,افتاب,گران,4617,1479,4143,0
اقبالند,اقبال,ند,1559,1222,601,0
اكادميايي,اكادمي,ايي,924,442,712,0
اكيدپنجمين,اكيد,پنجمين,1728,1503,420,0
امروزعموما,امروز,عموما,22208,19154,5688,0
انتظارالودگي,انتظار,الودگي,16583,6936,13681,0
انداتومبيلي,اند,اتومبيلي,56471,56122,695,0
اندازامنيت,انداز,امنيت,14935,8828,9716,0
اندومحكوميني,اندو,محكوميني,196,184,23,0
اوتبريك,او,تبريك,32491,29873,5025,0
اوتسن,او,تسن,31183,31181,3,0
اولويتگذاري,اولويت,گذاري,20360,10755,14678,0
اونجور,اون,جور,1711,1095,1010,0
اوچشمان,او,چشمان,32255,30109,4149,0
ايتاليانو,ايتاليا,نو,5242,5241,1,0
ايجادخواهدشد,ايجاد,خواهدشد,32747,30890,3608,0
ايزاسي,ايزا,سي,8553,8545,15,0
اينجاديده,اينجا,ديده,17520,5936,15508,0
اپلو,اپل,و,155933,155647,571,0
اپيرنز,اپي,رنز,45,45,0,0
اگرشرايط,اگر,شرايط,59183,16175,54762,0
بابارتولدي,با,بارتولدي,10,5,7,0
باتارد,باتا,رد,6356,6350,11,0
باتايسون,بات,ايسون,60,60,0,0
بارجنايتكار,بار,جنايتكار,27350,26623,1434,0
بارنيز,بار,نيز,104490,50516,80067,0
بازارتحقير,بازار,تحقير,15627,13985,3111,0
باسيزدهم,با,سيزدهم,846,831,29,0
بامعماري,با,معماري,2668,2653,29,0
باورمندي,باور,مندي,7494,3420,5933,0
بايبوست,باي,بوست,175,167,15,0
بايدبگذرد,بايد,بگذرد,52854,51624,2431,0
بجورن,بجو,رن,75,68,13,0
بخودكنترل,بخود,كنترل,11485,11203,557,0
برامز,برام,ز,730,656,140,0
برخوالد,برخ,والد,93,81,22,0
برديويد,بردي,ويد,119,92,47,0
برروال,بررو,ال,3100,3099,1,0
برندمي,برند,مي,136322,126639,18678,0
بروزعصر,بروز,عصر,15398,1738,15201,0
بريزو,بريز,و,155818,155762,111,0
برپاكردند,برپا,كردند,36984,29813,12951,0
بسيارسردي,بسيار,سردي,31303,30430,1721,0
بسيارپرمخاطره,بسيار,پرمخاطره,30967,30765,402,0
بلورسازان,بلور,سازان,1322,1105,398,0
بوگش,بو,گش,347,344,5,0
بيشتراشنا,بيشتر,اشنا,39426,28812,18370,0
بيشتردرباره,بيشتر,درباره,34120,34118,3,0
تاداس,تا,داس,65,59,11,0
تاسوخت,تا,سوخت,3761,3755,11,0
تاشدگي,تا,شدگي,126,120,11,0
تامشكل,تامش,كل,21523,21523,0,0
تجهيزمزارع,تجهيز,مزارع,2946,1439,2243,0
ترتيبالياس,ترتيب,الياس,14175,13731,874,0
ترخواهدبود,تر,خواهدبود,25182,24401,1537,0
ترفنددايره,ترفند,دايره,2175,1694,855,0
تماشانكنند,تماشا,نكنند,4210,1119,3912,0
تونورت,تو,نورت,3827,3803,47,0
جديدتوزيع,جديد,توزيع,35369,21784,21952,0
جزسبب,جز,سبب,9391,5194,6518,0
جوامان,جو,امان,4157,1189,3817,0
جوهال,جوه,ال,3100,3098,3,0
جيباشخاص,جيب,اشخاص,3127,1189,2675,0
حالاخودم,حالا,خودم,10365,4643,8285,0
حالاگويي,حالا,گويي,10760,4247,9083,0
حتماتا,حتما,تا,4308,4302,11,0
حدوديكسال,حدودي,كسال,2425,2424,1,0
حفرخواهند,حفر,خواهند,21716,20693,1997,0
خاتيا,خا,تيا,6,4,3,0
خاراس,خا,راس,2795,2793,3,0
خدارئيس,خدا,رئيس,41239,33150,14591,0
خشايارشاست,خشايارشا,ست,1662,1635,53,0
خلافرهنگي,خلا,فرهنگي,25057,23981,2105,0
خميركاغذ,خمير,كاغذ,2054,1571,852,0
خواستارتاييد,خواستار,تاييد,17268,20,17268,0
خواستارتمركز,خواستارت,مركز,16099,16099,0,0
خودروتا,خود,روتا,88353,88346,13,0
خوردندكه,خوردند,كه,137845,136893,1897,0
خوكداني,خوك,داني,614,344,421,0
دارظهور,دار,ظهور,10740,4978,8432,0
دارندبدين,دارند,بدين,43047,30263,21771,0
دالملك,دال,ملك,2567,1225,1982,0
دانشجوو,دانشجو,و,158279,153300,9801,0
دايليم,د,ايليم,1186,1185,1,0
دايمنشن,داي,منشن,49,48,1,0
دراسرار,در,اسرار,546,544,3,0
درامدزير,درامد,زير,28497,8360,26044,0
دراويخت,در,اويخت,107,105,3,0
دردقفسه,درد,قفسه,3540,2736,1425,0
درسينه,درسي,نه,25405,21319,7514,0
درعروسي,درع,روسي,1659,1659,0,0
درلحظه,در,لحظه,5195,5193,3,0
درمندلي,درمن,دلي,298,287,21,0
درپنجاه,در,پنجاه,2363,2361,3,0
دستمزدزحمت,دستمزد,زحمت,2779,457,2704,0
دعواكنند,دعوا,كنند,63870,62517,2677,0
دليلودر,دلي,لودر,364,221,229,0
دنلن,دنل,ن,1057,1056,1,0
دهدعلاقه,دهد,علاقه,55078,30281,38430,0
دهياريهادر,دهياري,هادر,239,106,192,0
دواستائل,دو,استائل,59006,59006,0,0
دوباد,دو,باد,61611,56402,9977,0
دوركابي,دو,ركابي,59011,59001,19,0
ديداراخير,ديدار,اخير,33809,4886,33102,0
ديگرپدر,ديگر,پدر,64840,55047,18106,0
دژبيل,دژ,بيل,1316,975,593,0
راببوسد,راب,بوسد,80,14,77,0
رابرانگيزد,رابر,انگيزد,439,259,286,0
راتمسكي,راتم,سكي,3,3,0,0
راديمن,رادي,من,20089,19976,225,0
راستاپيشنهاد,راستا,پيشنهاد,13276,6769,9824,0
راستگرايان,راست,گرايان,3485,2227,2061,0
راغنيمت,را,غنيمت,242,236,11,0
راپاسداري,را,پاسداري,574,568,11,0
رسولانش,رسول,انش,2062,2050,23,0
رضاو,رضا,و,155791,155789,3,0
رنسيك,رنس,يك,93040,93032,15,0
روبروشدم,روبرو,شدم,6713,403,6689,0
روستاهااز,روستاها,از,151506,148464,6022,0
ريگبي,ريگ,بي,35828,35657,341,0
زردبا,زرد,با,1103,1088,29,0
زرودرما,زرود,رما,3,3,0,0
زهرخوردن,زهر,خوردن,2728,2391,632,0
ساعدسميعي,ساعد,سميعي,300,52,291,0
سانتراج,سانتر,اج,107,70,61,0
سايرگونه,ساير,گونه,37457,3023,37213,0
ستيززا,ستيز,زا,1713,921,1217,0
سرليف,سر,ليف,21055,21003,103,0
سفرحامل,سفر,حامل,12071,9036,5306,0
سكتاب,سك,تاب,846,837,17,0
سنتنا,سن,تنا,5834,5830,7,0
سوئدبازداشت,سوئد,بازداشت,4374,2204,3263,0
سوئيدن,سوئي,دن,328,92,302,0
سيارگي,سي,ارگي,8556,8542,27,0
سيدكامران,سيد,كامران,6450,5183,2285,0
شارژبيش,شارژ,بيش,31134,30741,781,0
شروپورت,شرو,پورت,98,82,29,0
شعردر,شعر,در,3344,3342,3,0
شهركوردوبا,شهر,كوردوبا,29535,29487,95,0
