@relation 500words-weka.filters.unsupervised.attribute.NumericToNominal-R7-7-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute harmmean numeric
@attribute iscorrect {0,1}

@data
14068,1
399,1
12347,1
308,1
1,0
3366,1
225,0
2267,1
0,0
9907,1
1,1
5798,1
37,0
456,1
4620,1
3044,1
0,0
3821,1
21651,1
8890,1
6467,1
2753,1
2015,1
12692,1
1,1
1367,1
53135,1
1290,1
0,0
53,0
165,0
3167,1
11486,0
3,0
11,1
1,0
1224,0
651,0
29,1
1,0
3,0
14076,1
472,1
19861,1
4678,1
0,0
29,1
15,0
137,1
0,1
5650,0
65,0
7,0
7165,1
19418,1
30759,1
1,1
0,0
1,1
473,0
0,0
29,0
282,0
0,0
55,1
25,0
254,1
107,0
11,0
1128,1
11,1
2969,1
11,1
7,0
1,1
3694,1
0,0
9,0
15004,1
23318,1
43,0
348,1
1784,1
671,0
3,0
3,0
963,1
3427,1
2360,1
65137,1
18870,1
113,1
0,1
5,1
1,0
1125,1
576,1
23827,1
7673,1
788,1
13536,1
38,0
183669,1
3804,1
403,1
3439,1
45,0
1,0
3,1
0,0
3,1
3,1
164,0
3,1
3,1
4913,1
26871,1
2524,1
524,1
143,1
0,0
0,0
43,0
63061,1
0,0
17,1
187,0
47,0
11,1
11,1
1,1
11,1
5731,1
249,0
3,1
103,0
1321,1
1790,1
566,1
64,1
19,0
483,0
772,1
143,1
20224,1
372,1
6278,1
481,1
9,0
431,1
670,0
3,0
213,0
27,0
3957,1
10836,1
743,1
7302,1
44625,0
2312,1
31,1
10157,1
1349,1
221,1
11936,1
10508,1
2715,1
1077,1
433,1
2283,1
10216,1
64,0
4557,1
11425,1
326,1
1511,1
13545,1
4025,1
94,1
0,0
416,0
3,0
15,0
1,0
25,1
95,1
47,1
624,1
3203,1
1966,0
9078,1
1180,1
10037,1
0,0
1,0
515,1
5,0
29,0
5589,1
14050,1
9981,1
50,0
4988,1
93,0
1062,1
2108,1
7471,1
651,1
920,1
2331,1
10478,1
700,1
80,0
1,1
1,0
32526,1
4143,1
601,1
712,1
420,1
5688,1
13681,1
695,1
9716,1
23,1
5025,1
3,0
14678,1
1010,1
4149,1
1,1
3608,1
15,0
15508,1
571,1
0,0
54762,1
7,0
11,0
0,0
1434,1
80067,1
3111,1
29,1
29,1
5933,1
15,0
2431,1
13,0
557,1
140,0
22,0
47,0
1,1
18678,1
15201,1
111,1
12951,1
1721,1
402,1
398,1
5,1
18370,1
3,1
11,1
11,1
11,1
0,0
2243,1
874,1
1537,1
855,1
3912,1
47,0
21952,1
6518,1
3817,1
3,0
2675,1
8285,1
9083,1
11,1
1,1
1997,1
3,0
3,0
14591,1
53,1
2105,1
852,1
17268,1
0,0
13,0
1897,1
421,1
8432,1
21771,1
1982,1
9801,1
1,0
1,0
3,1
26044,1
3,1
1425,1
7514,1
0,0
3,1
21,0
3,1
2704,1
2677,1
229,0
1,0
38430,1
192,1
0,0
9977,1
19,1
33102,1
18106,1
593,0
77,0
286,1
0,0
225,0
9824,1
2061,1
11,1
11,1
23,1
3,1
15,0
6689,1
6022,1
341,0
29,1
0,0
632,1
291,1
61,0
37213,1
1217,1
103,0
5306,1
17,0
7,0
3263,1
302,0
27,0
2285,1
781,1
29,0
3,1
95,1
312,1
165,0
5,0
1176,1
15,1
256,1
90,1
13525,1
9588,1
5,0
11486,1
1,1
33,1
651,1
119,1
41,0
3,0
3,0
10578,1
138,0
541,0
30,0
417,0
2554,1
199,1
5697,1
9016,1
13,0
1,1
10,0
8938,1
449,1
21,0
1436,1
12606,1
3808,1
1360,1
49,0
3521,1
183,0
1,0
11,0
13,0
57,0
191,0
40,0
37,1
1,1
174,0
65,0
23476,1
1,1
3764,1
0,0
2262,1
9120,1
3517,1
13,1
1922,1
8379,1
1,0
3575,1
18,0
142,1
113,0
2279,1
25628,1
33,1
18183,1
89,0
644,1
51,1
1308,1
3149,1
122,0
742,1
822,1
6335,1
47,0
14830,1
169,0
2271,1
3664,1
3713,1
1795,0
32275,1
1600,1
243,0
171,1
4538,1
35,0
1288,1
1366,1
478,1
542,1
5,0
89,0
3,1
69,0
622,1
1,0
351,1
1,1
48944,1
12736,1
11,0
19,0
7320,0
197,0
35971,1
2412,1
1258,0
73603,1
4710,0
50,0
33,0
10088,1
9266,1
35672,1
8588,1
3288,1
2599,1
4459,1
924,1
4055,1
4,0
1189,1
27,1
37067,1
329,1
2339,1
2922,1
217,1
830,1
31,1
5736,1
50468,1
207,1
2221,1
1,0
